account_id,account_name,service,period1_cost,period2_cost,difference,pct_change
059176766147,wifi-int,Amazon DynamoDB,121.9,159.2,37.29,+30.6%
059176766147,wifi-int,Amazon Simple Queue Service,39.7,58.42,18.72,+47.2%
059176766147,wifi-int,Amazon Kinesis Firehose,23.2,38.38,15.18,+65.4%
059176766147,wifi-int,Amazon Elastic Load Balancing,16.7,31.73,15.03,+90.0%
059176766147,wifi-int,AWS Secrets Manager,1.93,8.8,6.87,+355.1%
059176766147,wifi-int,AWS Key Management Service,0.0,6.77,6.77,NEW
059176766147,wifi-int,Amazon Elastic Compute Cloud - Compute,274.76,272.81,-1.94,-0.7%
059176766147,wifi-int,Amazon Route 53,0.51,1.55,1.04,+205.0%
059176766147,wifi-int,Amazon Elastic File System,0.0,0.05,0.05,NEW
059176766147,wifi-int,TOTAL,2192.35,4084.61,1892.26,+86.3%
060064645249,wifi-prd-us,Amazon Elastic Container Service for Kubernetes,0.0,901.27,901.27,NEW
060064645249,wifi-prd-us,Amazon Managed Streaming for Apache Kafka,0.0,679.53,679.53,NEW
060064645249,wifi-prd-us,Amazon Elastic Compute Cloud - Compute,0.0,474.17,474.17,NEW
060064645249,wifi-prd-us,Amazon Kinesis,0.0,382.8,382.8,NEW
060064645249,wifi-prd-us,Amazon Virtual Private Cloud,0.0,129.51,129.51,NEW
060064645249,wifi-prd-us,EC2 - Other,0.0,107.07,107.07,NEW
060064645249,wifi-prd-us,Amazon Relational Database Service,0.0,92.33,92.33,NEW
060064645249,wifi-prd-us,AmazonCloudWatch,0.0,56.04,56.04,NEW
060064645249,wifi-prd-us,Amazon Elastic Load Balancing,0.0,49.26,49.26,NEW
060064645249,wifi-prd-us,AWS Glue,0.0,11.45,11.45,NEW
060064645249,wifi-prd-us,AWS Secrets Manager,0.0,7.35,7.35,NEW
060064645249,wifi-prd-us,AWS Key Management Service,0.0,5.8,5.8,NEW
060064645249,wifi-prd-us,Amazon Simple Queue Service,0.0,2.0,2.0,NEW
060064645249,wifi-prd-us,Amazon DynamoDB,0.0,0.73,0.73,NEW
060064645249,wifi-prd-us,Amazon Simple Storage Service,0.0,0.35,0.35,NEW
060064645249,wifi-prd-us,Amazon Route 53,0.0,0.31,0.31,NEW
060064645249,wifi-prd-us,Amazon EC2 Container Registry (ECR),0.0,0.1,0.1,NEW
060064645249,wifi-prd-us,AWS IoT,0.0,0.01,0.01,NEW
060064645249,wifi-prd-us,TOTAL,0.0,2900.07,2900.07,+0.0%
132880291562,shared-infra-prd,Amazon Elastic Compute Cloud - Compute,138.7,401.75,263.05,+189.7%
132880291562,shared-infra-prd,EC2 - Other,49.93,190.84,140.91,+282.2%
132880291562,shared-infra-prd,Amazon Managed Service for Prometheus,0.0,55.68,55.68,NEW
132880291562,shared-infra-prd,Amazon Elastic Load Balancing,16.2,50.52,34.32,+211.8%
132880291562,shared-infra-prd,AmazonCloudWatch,35.54,67.47,31.94,+89.9%
132880291562,shared-infra-prd,Amazon Virtual Private Cloud,14.41,27.86,13.46,+93.4%
132880291562,shared-infra-prd,Amazon Relational Database Service,0.0,13.36,13.36,NEW
132880291562,shared-infra-prd,Amazon Elastic Container Service for Kubernetes,144.0,139.2,-4.8,-3.3%
132880291562,shared-infra-prd,AWS Key Management Service,1.93,5.83,3.9,+201.8%
132880291562,shared-infra-prd,Amazon Elastic File System,0.0,2.08,2.08,NEW
132880291562,shared-infra-prd,Amazon Elastic Container Service,35.61,34.37,-1.24,-3.5%
